post_id,author,body,score,created_utc,date
1k27mo4,I-Respect-You,Sorry; should this say convert.,3,1744991313.0,2025-04-18 15:48:33
1k27mo4,Encik_Manap,is SoDogeTip still active?,1,1745037046.0,2025-04-19 04:30:46
1k27mo4,ProfessionalCow9724,Still holding! Hope it’s not in vain.,1,1745074493.0,2025-04-19 14:54:53
1k27mo4,Shellilala,"Uhhhh......it had 69 likes . I clicked on it making it 70 likes. Then decided , NO , no I can not be the one to take the 69 away so I unliked and it went to 68 . Whhhaaatttt ? So I liked it again . It went to 70 . I unliked it again 68 .  I'm not liking it any more . But , just so you know , I like it ![gif](emote|free_emotes_pack|grin)",1,1745203363.0,2025-04-21 02:42:43
1k27mo4,One-Soft2403,Mining and holding!!,1,1745243562.0,2025-04-21 13:52:42
1k27mo4,creArthur,true,-1,1744991941.0,2025-04-18 15:59:01
1k26ev2,OdettaGrem,"Wait, what? What's the rhyme and reason of this device/OS",11,1744987785.0,2025-04-18 14:49:45
1k26ev2,SuccessfulAerie3356,Looks like a cheap r36s,2,1745068501.0,2025-04-19 13:15:01
1k26ev2,not_into_that,no thanks.,6,1744993042.0,2025-04-18 16:17:22
1k26ev2,Routine-Duck6896,Eww lol,3,1744992595.0,2025-04-18 16:09:55
1k26ev2,p0Nd3R1Ng_hYp0Th3s1s,fake news,3,1745000726.0,2025-04-18 18:25:26
1k26ev2,Fun_Raise_7858,🦴👀,0,1744991814.0,2025-04-18 15:56:54
1k26ev2,friendly-survivor,Looks like a cheaper version of the R36S videogame emulator.,5,1744990432.0,2025-04-18 15:33:52
1k26ev2,nickert0n,I would actually buy one just as a collectors item.,-11,1744993908.0,2025-04-18 16:31:48
1k26ev2,Fun_Raise_7858,Let us see why are they going to dubai..,1,1745000991.0,2025-04-18 18:29:51
1k26ev2,Anowtakenname,"Not even, it's just a bitboy with doge bs flashed on to it. The R36S is cheaper to get a hold of and more capable than this.",4,1745027772.0,2025-04-19 01:56:12
1k26ev2,N/A,[deleted],1,1744994620.0,2025-04-18 16:43:40
1k26ev2,p0Nd3R1Ng_hYp0Th3s1s,crowd funding and hype for something thats already all over ali express,1,1745002640.0,2025-04-18 18:57:20
1k26ev2,Angrry_,It’s junk anyway,4,1744999817.0,2025-04-18 18:10:17
1k26ev2,Fun_Raise_7858,Proof?,-1,1745004147.0,2025-04-18 19:22:27
1k26ev2,p0Nd3R1Ng_hYp0Th3s1s,DYOR ✅  just because something is named Dogeboy or on a 3rd party web3 layer does not mean it has anything to do with dogecoin or strengthening the blockchain,2,1745008681.0,2025-04-18 20:38:01
1k26ev2,Fun_Raise_7858,Not true. Read x posts and so on. You DYOR‼️,-2,1745008994.0,2025-04-18 20:43:14
1k26ev2,p0Nd3R1Ng_hYp0Th3s1s,"X posts are pretty much all engagement farming these days, sadly.",1,1745010844.0,2025-04-18 21:14:04
1k26ev2,friendly-survivor,Are you serious?,-1,1745015174.0,2025-04-18 22:26:14
1k202bx,Every_Hunt_160,"It dipped 0.00001, KEEP CALM AND HODL !!!",7,1744965817.0,2025-04-18 08:43:37
1k202bx,Beautiful-Bag-5028,You did your part.,7,1744974142.0,2025-04-18 11:02:22
1k202bx,CisIowa,Sell and let me see if mine goes up,4,1744974046.0,2025-04-18 11:00:46
1k202bx,loc710,First time?,9,1744978170.0,2025-04-18 12:09:30
1k202bx,Workingclassherois,"Yeah, I recently added another 50k to my Ðogecoin stash and it was probably several weeks before it was back to that particular price. I thought it was humorous.  It wasn’t enough to change my average price much at all. I’ve had the same thing to happen with stocks too. It’s all good. I’ll be holding long term anyway. Lots of good things are coming to Ðogecoin. Good luck. 💎 🙌",2,1745022641.0,2025-04-19 00:30:41
1k202bx,Reenk44,"Y'all need to wake up. I made my cash off the first surge in like 2020. It's over guys, be smart.",1,1745001863.0,2025-04-18 18:44:23
1k202bx,fatporkchop2712,![gif](giphy|aCatQNctAK7PC1H4zh|downsized),1,1745090238.0,2025-04-19 19:17:18
1k202bx,VanHinten7,So you’re the secret whale? I knew it,1,1745109097.0,2025-04-20 00:31:37
1k202bx,Used-Manufacturer819,Welcome to the club,1,1745166481.0,2025-04-20 16:28:01
1k202bx,Burner351975,Cost average on a daily basis. It will help smooth your average.,1,1745191129.0,2025-04-20 23:18:49
1k202bx,EnoughLuck3077,What he said! There was totally no money to be made when it went from .07 to .48 just recently,2,1745095779.0,2025-04-19 20:49:39
1k1y924,slykethephoxenix,Cool!,4,1744987940.0,2025-04-18 14:52:20
1k1y924,PastaVeggies,![gif](giphy|uLy4Bo680hZxm),-2,1744998903.0,2025-04-18 17:55:03
1k1y924,itsalawnchair,"This is the exact opposite of what we want.     Crypto was created to be a viable alternative to fiat, specially coins like dogecoin.    All this does is an attempt to make dogecoin just another toy the rich can buy and sell with fiat, just another product/asset that is valued in fiat.     People cheering for this don't understand what crypto is, all they are looking for is a quick scheme to make quick money.",-6,1744990875.0,2025-04-18 15:41:15
1k1y924,slykethephoxenix,How does this do any of what you said? It's increasing adoption.,6,1744991718.0,2025-04-18 15:55:18
1k1y924,nickert0n,Dogecoin IS money.,6,1744993957.0,2025-04-18 16:32:37
1k1y924,itsalawnchair,"doge can already be used as it is right now, I can send anyone payments or receive payments p2p right now.     We don't need the blessing of institutions, institutions don't need to be part of the transactions at all.     What this ""report"" is suggesting that dogecoin is an institutional grade product, ie. you can treat it like any other asset people buy to speculate price increase so that you can dump it for fiat profits.     None of that is ""adoption"". Adoption is people using dogecoin as a medium of exchange to pay for goods and services.",0,1745049017.0,2025-04-19 07:50:17
1k1tte3,The_Trolled_One,Losses are up. But get 1 doge= 1doge,3,1744948895.0,2025-04-18 04:01:35
1k1tte3,Inner-Yams,Happy im a doger and not any other crypto. Some pretty nonprofitable one's out there long term.,3,1744976600.0,2025-04-18 11:43:20
1k1tte3,theDOGEdolphin,✊️,3,1745029948.0,2025-04-19 02:32:28
1k1tte3,Weoutsidetiday,TBE ONLY REAL $D.O.G.E 9TY6DUg1VSssYH5tFE95qoq5hnAGFak4w3cn72sJNCoV,1,1745306206.0,2025-04-22 07:16:46
1k1r67y,PastaVeggies,![gif](giphy|uLy4Bo680hZxm),-3,1744942323.0,2025-04-18 02:12:03
1k1qxtd,Catharsiscult,I love this.,2,1744939582.0,2025-04-18 01:26:22
1k1q59e,tomcarbon,wow,2,1745044816.0,2025-04-19 06:40:16
1k1q59e,Famous_Entrance3022,Much wow   Now say it louder for the ppl in the back plz?,2,1745174533.0,2025-04-20 18:42:13
1k1o80q,Vegetable_Holiday835,Hello Aspinoy Doge🇵🇭,3,1745069447.0,2025-04-19 13:30:47
1k1o80q,Shellilala,"""Maligayang aso""",1,1745203618.0,2025-04-21 02:46:58
1k1nvc6,tmoam,Source: trust me bro,21,1744924457.0,2025-04-17 21:14:17
1k1nvc6,Basic_Car8415,Dogecoin is the next dogecoin,6,1745009943.0,2025-04-18 20:59:03
1k1nvc6,natasevres,Doge is purposfully designed not to be btc,14,1744926062.0,2025-04-17 21:41:02
1k1nvc6,Treeman1979,"No, it will not be.",13,1744925194.0,2025-04-17 21:26:34
1k1nvc6,Zealousideal_Can_989,Mannnn shut the f…,2,1745041728.0,2025-04-19 05:48:48
1k1nvc6,r0botdevil,"There is no next bitcoin.  That was a once-in-a-lifetime phenomenon, and we're never going to see it again.",2,1744979606.0,2025-04-18 12:33:26
1k1nvc6,Southern-Young-2389,"Dogecoin utilization is going up and Bitcoin down. Bitcoin is more like gold, dogecoin should be used anytime anywhere thats the way",3,1744927492.0,2025-04-17 22:04:52
1k1nvc6,Friendly_Plan_4400,Hope is hope 😆,1,1745073729.0,2025-04-19 14:42:09
1k1nvc6,420MoneyMaker,"The total supply of Doge is too much. BTC only has a total supply capped at 21 Million. While Doge currently has a supply of 147 billion and adding about 10,000 every minute.  I would be happy if DOGE hit $10-20.",1,1745091160.0,2025-04-19 19:32:40
1k1nvc6,Excellent-Piglet-655,🤣🤣🤣🤣🤣🤣,1,1745094449.0,2025-04-19 20:27:29
1k1nvc6,sns9770,Oh stop !!! Get real and invest in  real companies .. you might actually make your portfolio grow with time and compounding …,1,1745187144.0,2025-04-20 22:12:24
1k1nvc6,jnuts9,See you at Wendys,1,1745246363.0,2025-04-21 14:39:23
1k1nvc6,DoobOnTheDip,Doge is the dollar to BTC’s gold,-1,1744924435.0,2025-04-17 21:13:55
1k1nvc6,IndependentTeacher24,Got me convinced.🤣🤣🤣🤣,0,1744925373.0,2025-04-17 21:29:33
1k1nvc6,B126D,"It will not, but it will become the highest to its level ( only legend knows ).",0,1744988814.0,2025-04-18 15:06:54
