post_id,author,body,score,created_utc,date
1k1ndmt,DoobOnTheDip,I fully expect it to be the official currency of Mars one day…,52,1744923689.0,2025-04-17 21:01:29
1k1ndmt,xBlitzgewitter,Top 10 best plot twist in history,12,1744929422.0,2025-04-17 22:37:02
1k1ndmt,Finch_Invest,I think many of us have made mistakes jumping in and out of Dogecoin now it's time to hold and try to be patient 🚀🚀🚀🚀🚀🚀,11,1744936662.0,2025-04-18 00:37:42
1k1ndmt,linksys1127,I see what you did there,13,1744923575.0,2025-04-17 20:59:35
1k1ndmt,Neukted,Ohhhhhhhh shizzzz,21,1744924246.0,2025-04-17 21:10:46
1k1ndmt,SuchDogeHodler,I will be buying the dip!,6,1744942335.0,2025-04-18 02:12:15
1k1ndmt,GlitteringJob9248,I will buy more,4,1744947628.0,2025-04-18 03:40:28
1k1ndmt,Suspicious-Bug-7344,When your whole identity is doge bc you can no longer afford a different one...,12,1744929049.0,2025-04-17 22:30:49
1k1ndmt,Alea_Iacta_Est21,You had me on the first half 👀,3,1744941692.0,2025-04-18 02:01:32
1k1ndmt,madbomber98,Damn that’s crazy *continues to hold*,3,1745001940.0,2025-04-18 18:45:40
1k1ndmt,God-Emperor-Pepe,![gif](giphy|y2i2oqWgzh5ioRp4Qa),3,1745003958.0,2025-04-18 19:19:18
1k1ndmt,OkNefariousness1159,I will buy if it dips more,3,1745010710.0,2025-04-18 21:11:50
1k1ndmt,PayAcceptable2078,Hahaha it’s about to explode not crushing. Turning people millionaires soon.,5,1744945532.0,2025-04-18 03:05:32
1k1ndmt,MrEnigma67,![gif](giphy|cF7QqO5DYdft6),3,1744932177.0,2025-04-17 23:22:57
1k1ndmt,rokittothemoon,Nice one,2,1744931849.0,2025-04-17 23:17:29
1k1ndmt,Practical_Lunch_6509,Whatever goes up MUST come down. And vice versa.,2,1744964255.0,2025-04-18 08:17:35
1k1ndmt,Mintyteethdreams,"Thank goodness, I’ve been waiting for the buy mark",2,1745047873.0,2025-04-19 07:31:13
1k1ndmt,soaring_skies666,"I was gonna say finally someone with logic, but nope, just more stupidity",5,1744923838.0,2025-04-17 21:03:58
1k1ndmt,Rshellnizzle,I’m eating some Taco Casa,4,1744928789.0,2025-04-17 22:26:29
1k1ndmt,TheWatcher676767,"IDK what charts ya'll are looking at but I am looking to make an entry around .10     and per my analysis, .08 is not out of possibility .",3,1744925416.0,2025-04-17 21:30:16
1k1ndmt,hodlinsteady,Long scam? Wasn't he a 1970's porn star?,2,1744942275.0,2025-04-18 02:11:15
1k1ndmt,ScullingPointers,![gif](giphy|y2i2oqWgzh5ioRp4Qa),2,1744945620.0,2025-04-18 03:07:00
1k1ndmt,Goopstains6318,"I waiting till .08 to buy back in if it happens , if it doesnt then ill maybe try at .12 .14 area",2,1744974014.0,2025-04-18 11:00:14
1k1ndmt,Gohan335i7,![gif](giphy|oNFP9kltPi7fp8TUAV|downsized),3,1744935370.0,2025-04-18 00:16:10
1k1ndmt,Kushroom710,"Looking at the weekly, I'd say we're bout ready for blast off.",1,1745268564.0,2025-04-21 20:49:24
1k1ndmt,Few_Significance_201,is there a mars coin yet?,1,1745284794.0,2025-04-22 01:19:54
1k1ndmt,BigMuted2277,Doge has been crashing for months. Man will go back to the moon before it will be 6 feet off the ground. Maybe in 5 years I can get back my losses.,1,1744928750.0,2025-04-17 22:25:50
1k1ndmt,Goingformine1,Buy In single digits.,1,1744930596.0,2025-04-17 22:56:36
1k1ndmt,Successful_Mode1203,Bitcoin is never gonna make it. Smh,1,1744931463.0,2025-04-17 23:11:03
1k1ndmt,Novel-Bad2984,I believe the first part not the second,1,1744996726.0,2025-04-18 17:18:46
1k1ndmt,notso96600,Pick up the dogecrap of the lawn,0,1745011267.0,2025-04-18 21:21:07
1k1ndmt,DunderscoreMA,"It may aim for the moon, but not every launch is successful.",-1,1744932888.0,2025-04-17 23:34:48
1k1ndmt,atxcomputer,e. Long scam finally came to end,-1,1744942090.0,2025-04-18 02:08:10
1k1ndmt,CircumcisedWhale,It’s about 3 years too late IMO.,0,1744929315.0,2025-04-17 22:35:15
1k1ndmt,ImAMercat,Didn’t it already crash hard lol,0,1744986932.0,2025-04-18 14:35:32
1k1ndmt,financialfreeabroad,Cool. We wait in silence.,0,1744997407.0,2025-04-18 17:30:07
1k1ndmt,Bungholioioio,Oh no.  My 75 cent investment is tanked.,-1,1744936709.0,2025-04-18 00:38:29
1k1ndmt,Neukted,Same. I would turn all my money into doge money on site,9,1744924286.0,2025-04-17 21:11:26
1k1ndmt,Every_Hunt_160,To the Marrrrsss !!!,2,1744963441.0,2025-04-18 08:04:01
1k1ndmt,Few_Wrongdoer_1372,"there was a mars coin a few years back, want a good one,  we are better:)",1,1745065754.0,2025-04-19 12:29:14
1k1ndmt,kmookie,Buy the dip,6,1744935786.0,2025-04-18 00:23:06
1k1ndmt,hodlinsteady,"Break, open the bag of chips,  this is the dip",3,1744942527.0,2025-04-18 02:15:27
1k1ndmt,hodlinsteady,Soon you'll be able to branch out from your doge identity. Youll be able to afford a warehouse full of identities!,2,1744942150.0,2025-04-18 02:09:10
1k1ndmt,hodlinsteady,But twisted your noggin on the second half!,3,1744941764.0,2025-04-18 02:02:44
1k1ndmt,hodlinsteady,Too late you already said it!,0,1744940928.0,2025-04-18 01:48:48
1k1ndmt,HotAbbreviations9893,Must be in Texas,1,1744934604.0,2025-04-18 00:03:24
1k1ndmt,Acrobatic-Pop-8813,lol @ you and your analysis,8,1744927687.0,2025-04-17 22:08:07
1k1ndmt,hodlinsteady,Charts are for losers! I listen to financial guru  Truss Meebro,2,1744941001.0,2025-04-18 01:50:01
1k1ndmt,Goopstains6318,I agree here .10 .08 could happen,2,1745087908.0,2025-04-19 18:38:28
1k1ndmt,hodlinsteady,08? It's 2025 you ding dong!,1,1745029220.0,2025-04-19 02:20:20
1k1ndmt,hodlinsteady,T-5....4. ...3.....2.....1,1,1745341572.0,2025-04-22 17:06:12
1k1ndmt,hodlinsteady,Mars has a moon.....think about it!,1,1745341651.0,2025-04-22 17:07:31
1k1ndmt,Honest_Economist_283,I think inflation would eat any actual gains in 5 years,1,1744936130.0,2025-04-18 00:28:50
1k1ndmt,hodlinsteady,"Next stop, quadruple digits!",3,1744941627.0,2025-04-18 02:00:27
1k1ndmt,Goopstains6318,Watch out op got butt hurt when i said i will buy back in at .08,1,1745087843.0,2025-04-19 18:37:23
1k1ndmt,hodlinsteady,"Not sure what hard lol is, but it can't be good.",1,1745104425.0,2025-04-19 23:13:45
1k1ndmt,hodlinsteady,No worries.You'll finally be able to afford that Mcdonald's happy meal you've always dreamed about,1,1744941261.0,2025-04-18 01:54:21
1k1ndmt,Neukted,I'm trying cuz,2,1744936803.0,2025-04-18 00:40:03
1k1ndmt,WasabiExternal7146,when,-1,1744959993.0,2025-04-18 07:06:33
1k1ndmt,citymousecountyhouse,Identifying with a dumpster behind Wendy's.,3,1744964846.0,2025-04-18 08:27:26
1k1ndmt,Alea_Iacta_Est21,![gif](giphy|H6Gjy7pf5iPxVmycEc|downsized),3,1744942176.0,2025-04-18 02:09:36
1k1ndmt,soaring_skies666,"Wow, you don't say? Glad you could figure that out on your own   Why are you acting like a child?",0,1744941410.0,2025-04-18 01:56:50
1k1ndmt,Rshellnizzle,Spot on,1,1744937427.0,2025-04-18 00:50:27
1k1ndmt,TheWatcher676767,"I mean there’s no way you’re looking at a longer term chart and seeing health. If you are, good luck lol",1,1744928454.0,2025-04-17 22:20:54
1k1ndmt,hodlinsteady,"He said, as he looked in the mirror",1,1744941530.0,2025-04-18 01:58:50
1k1ndmt,TheWatcher676767,".08 would be a split second hit and *should* bounce. .08 is a very clear re-test zone for support. If it dips to .07, get out",2,1745114361.0,2025-04-20 01:59:21
