post_id,author,body,score,created_utc,date
1k718ha,Phisticuff,No,3,1745544655.0,2025-04-25 01:30:55
1k718ha,edwardothegreatest,Lemme have some of what you’re smoking.,3,1745616645.0,2025-04-25 21:30:45
1k718ha,OkReach4283,"Bro you don't have to lie, we understand .",2,1745571999.0,2025-04-25 09:06:39
1k716by,wavaif4824,sick and tired of seeing these posts from obvious blog shills. constant posts with outlandish questions to encourage clicks. could these posts be better? click through to find out! ![gif](emote|free_emotes_pack|poop),4,1745523390.0,2025-04-24 19:36:30
1k716by,cinesias,Get ready to buy the dip.,1,1745534750.0,2025-04-24 22:45:50
