post_id,author,body,score,created_utc,date
1izlkmz,Personal_Occasion618,I want one now,2,1740698802.0,2025-02-27 23:26:42
1izlkmz,Byzantine84,"Hi Mika! You seem far less excited about meeting me than I am you, but that’s part of the Shiba charm.",2,1740709257.0,2025-02-28 02:20:57
1izlkmz,Cookie_Eater89,"Mika, what is going on with Shib?",1,1740725115.0,2025-02-28 06:45:15
1izlkmz,Od-london,Hi Mika☺️,1,1740731957.0,2025-02-28 08:39:17
1izlkmz,Former_Barber1629,Beautiful dogs.,1,1740965887.0,2025-03-03 01:38:07
1izlkmz,FBAThrow,Looks like a good boy :),1,1741189040.0,2025-03-05 15:37:20
