post_id,author,body,score,created_utc,date
1k981hh,phi_curious,Definitely got a great shot at it!,15,1745778625.0,2025-04-27 18:30:25
1k981hh,Libzors,Oh heck yes,9,1745797093.0,2025-04-27 23:38:13
1k981hh,ProgramLow8782,"As long as we continue the grind, inspire others and build the community, then it's inevitable",8,1745804539.0,2025-04-28 01:42:19
1k981hh,Unlikely-Party2071,Next 10x gem,2,1745843457.0,2025-04-28 12:30:57
1k981hh,Expert-Detective-525,"I think we can for sure, we just need to keep pushing!!!",2,1745928201.0,2025-04-29 12:03:21
1k8uqlt,Vegas_42,✅,3,1745730980.0,2025-04-27 05:16:20
1k8r9vg,Suspicious_Wonder320,Comment and like to this amazing hard working and delivering Kendu community.,2,1745742635.0,2025-04-27 08:30:35
