post_id,author,body,score,created_utc,date
1k9xafi,Lalph-Rauren,Ayyyyyy IAN is back with his GOATES recaps 😎🔥,4,1745853508.0,2025-04-28 15:18:28
1k9xafi,Hot-Raspberry2758,Very colorful hehe ❤️,4,1745857791.0,2025-04-28 16:29:51
1k9sfge,Honos11,Glad to have you back.,12,1745838736.0,2025-04-28 11:12:16
1k9sfge,Hot-Raspberry2758,Thanks Chad ❤️,9,1745843366.0,2025-04-28 12:29:26
1k9sfge,ShMaCo33,Welcome back!!,8,1745843460.0,2025-04-28 12:31:00
1k9sfge,TheGDC33,♥️,4,1745851979.0,2025-04-28 14:52:59
1k9sfge,TheGDC33,♥️,5,1745851995.0,2025-04-28 14:53:15
1k9sfge,TheGDC33,♥️,5,1745851965.0,2025-04-28 14:52:45
