post_id,author,body,score,created_utc,date
1jmszpu,Hot-Raspberry2758,Get all the media you can fam!!! ❤️,19,1743274083.0,2025-03-29 18:48:03
1jmszpu,Vegas_42,Rock'n'Roll 🤟,11,1743280448.0,2025-03-29 20:34:08
1jmszpu,skillmattic,Rep for KENDU baby! LFG!,6,1743288076.0,2025-03-29 22:41:16
1jmszpu,bigboydesomo,Lfg kendu,8,1743289251.0,2025-03-29 23:00:51
1jmszpu,Expert-Detective-525,great stuff,4,1743326912.0,2025-03-30 09:28:32
1jmszpu,they_call_me_mr_mac,🤘,3,1743357165.0,2025-03-30 17:52:45
1jmsuj9,Artistic-Tutor-548,$kendu will be number 1 memecoin 🐕🐕🐕…,6,1743273240.0,2025-03-29 18:34:00
1jmsuj9,ProgramLow8782,"Appreciate the stat recap, looking better by the day. I hope price remains low so i can keep buying on the cheap",4,1743287607.0,2025-03-29 22:33:27
1jmsuj9,insegniah1,Love these,3,1743315960.0,2025-03-30 06:26:00
1jmsuj9,bigboydesomo,Thanks for the daily update,2,1743328716.0,2025-03-30 09:58:36
1jmsuj9,UrbanPKMonkey,100%,3,1743289205.0,2025-03-29 23:00:05
1jmsuj9,UrbanPKMonkey,"I’ll be honest and hoping for the same for the next month or so. I really want to reduce my DCA, but we will hit billions anyway so shouldn’t be so selfish",5,1743289167.0,2025-03-29 22:59:27
1jmsuj9,bigboydesomo,<3 ❤️,2,1743328802.0,2025-03-30 10:00:02
1jmsuj9,UrbanPKMonkey,Thank you! Stay tuned on the daily,1,1743329406.0,2025-03-30 10:10:06
1jmsuj9,UrbanPKMonkey,You’re welcome bro! 😎,1,1743329367.0,2025-03-30 10:09:27
1jm9ibg,rahmor,Link?,6,1743207092.0,2025-03-29 00:11:32
1jm9ibg,insegniah1,Website looks awesome,1,1743315978.0,2025-03-30 06:26:18
1jm9ibg,RegardedQt314,the link should be in the post itself but if you're having trouble here it is:  [Kendu.io](https://Kendu.io),8,1743207167.0,2025-03-29 00:12:47
1jm7ox7,phi_curious,Excited to see everything coming from this 🤩,13,1743202065.0,2025-03-28 22:47:45
1jm7ox7,dcp0002,This is huge,8,1743206520.0,2025-03-29 00:02:00
1jm7ox7,cringyusername_123,Looking forward to see the stuffs!,6,1743207255.0,2025-03-29 00:14:15
1jm7ox7,BTCBette,"Oooooh - have fun in Miami, Kendu peeps! Send pics!! 📸😃",5,1743210416.0,2025-03-29 01:06:56
