post_id,author,body,score,created_utc,date
1jhd2ko,ReferenceProper5428,"Funny, how a single digit can make you a millionaire or leave you flat broke",25,1742667267.0,2025-03-22 18:14:27
1jhd2ko,Technical_Ebb6756,If I had a nickel for every one of these posts I’d be rich,19,1742670123.0,2025-03-22 19:02:03
1jhd2ko,Kso3ooo,You drew a line. Nice.,6,1742683806.0,2025-03-22 22:50:06
1jhd2ko,MostResponsible2210,Delusion,6,1742728043.0,2025-03-23 11:07:23
1jhd2ko,westcoast10000,🚀🚀🚀 fortune favors the brave,16,1742663237.0,2025-03-22 17:07:17
1jhd2ko,Gohan335i7,Arise chicken!!,4,1742697954.0,2025-03-23 02:45:54
1jhd2ko,SquadGuy3,Bagholders cheering on the price to rise 😂 that’s original,4,1742718023.0,2025-03-23 08:20:23
1jhd2ko,Poodoom,Maybe you should look harder at the chart you posted.,5,1742733490.0,2025-03-23 12:38:10
1jhd2ko,DevelopmentGlass4778,Holding 1b,8,1742665030.0,2025-03-22 17:37:10
1jhd2ko,MISSION-CONTROLLER1,So all you have to do is draw a vertical Lime-green line and we’re good?,5,1742666193.0,2025-03-22 17:56:33
1jhd2ko,Apprehensive_Eye_188,🤣🤣😂😊 these post crack me up boy I’ll tell ya,5,1742682206.0,2025-03-22 22:23:26
1jhd2ko,Hothottot,I’m in it. Wish I had more.,4,1742664535.0,2025-03-22 17:28:55
1jhd2ko,snorlaxtubbs,Rise and shine,2,1742729315.0,2025-03-23 11:28:35
1jhd2ko,majsterbera,"i hold some shib.. i'll wait till 2030. maybe it will be 0,01, maybe 0,00000000001",2,1742751667.0,2025-03-23 17:41:07
1jhd2ko,itchynipnips,Shib is already up 2.7M%… that shiba millionaires ship sailed a loooooong time ago,2,1742758960.0,2025-03-23 19:42:40
1jhd2ko,Otherwise_Tailor9942,"The sleeping gem, please wake up!",2,1742785731.0,2025-03-24 03:08:51
1jhd2ko,Eye_am_Eye,HODL.....,2,1742670272.0,2025-03-22 19:04:32
1jhd2ko,Psyc0001,LFG 💥  ![gif](giphy|14ceV8wMLIGO6Q),2,1742677800.0,2025-03-22 21:10:00
1jhd2ko,Ape-per-view,![gif](giphy|eeYCKm1UriwMAKe11Q|downsized),2,1742668219.0,2025-03-22 18:30:19
1jhd2ko,Silent_Win116,Zoom out more.,2,1742678976.0,2025-03-22 21:29:36
1jhd2ko,IWantToBeRich-,💀,1,1742692381.0,2025-03-23 01:13:01
1jhd2ko,Character-Handle-739,I don’t think people understand how much would need to be burned to make this coin truly viable. You have to burn about 90% of the coins. You can buy them and hold it forever and someday your kids will have some money.,1,1742732714.0,2025-03-23 12:25:14
1jhd2ko,daSTDbunny,"Holy shit, all we needed to do was draw a line on a chart? Guess not paying attention in economics really paid off.",1,1742753062.0,2025-03-23 18:04:22
1jhd2ko,N/A,Wow. What is this technical pattern called ?  A wild card reversal?,1,1742761576.0,2025-03-23 20:26:16
1jhd2ko,TwistedBiscuitz,In August… that is a 9 month gap in spikes,1,1742770283.0,2025-03-23 22:51:23
1jhd2ko,SeveralDescription13,Lol,1,1742773150.0,2025-03-23 23:39:10
1jhd2ko,RiouchiSenjuMaki,Harmonic Pattern,1,1742789277.0,2025-03-24 04:07:57
1jhd2ko,Past_Friendship2071,Gentle request to postpone moon for 24 hrs. Getting wages tomorrow 🤔🤔,1,1742804271.0,2025-03-24 08:17:51
1jhd2ko,Plastic-List215,"Shib-izens, ERECT",1,1742927327.0,2025-03-25 18:28:47
1jhd2ko,deivedm,Woof woof! This dog’s not done yet!,1,1742972358.0,2025-03-26 06:59:18
