post_id,author,body,score,created_utc,date
1jvglln,BBlizz3,"i get what you mean, i really do. but it is also a meme lol",10,1744239030.0,2025-04-09 22:50:30
1jvglln,Dangalang77,Oh wow my grandkids might make some money with it,6,1744245832.0,2025-04-10 00:43:52
1jvglln,-mrwiggly-,Shits up 5% and they all come crawling outta the woodwork huh?,4,1744299929.0,2025-04-10 15:45:29
1jvglln,MISSION-CONTROLLER1,Oh. Wow. Does that mean we are mooning today?,8,1744232881.0,2025-04-09 21:08:01
1jvglln,galwall,Got any source  Is it the largest % share is people who hold long term  Or largest % of coins with one or two holders,2,1744236974.0,2025-04-09 22:16:14
1jvglln,superuser79,see the price increase in last 3 years 😀,2,1744243027.0,2025-04-09 23:57:07
1jvglln,CitizenCraigXD,"And I didn't choose the SHIB, the SHIB chose me",2,1744330860.0,2025-04-11 00:21:00
1jvglln,need2feedpart2,💎👋,2,1744239617.0,2025-04-09 23:00:17
1jvglln,NationalPea8375,Dead coin lol,2,1744341266.0,2025-04-11 03:14:26
1jvglln,DrakenMaul,Shib has no utility it's a meme coin. I was a early holder but it became clear it was going to be a disappointment,2,1744297571.0,2025-04-10 15:06:11
1jvglln,Zx40,Dumb,1,1744340609.0,2025-04-11 03:03:29
1jvglln,NationalPea8375,It's been 4 years and not even 1 trillion burnt. . .imagine trying to burn 589 trillion 😂,1,1744341325.0,2025-04-11 03:15:25
1jvglln,makingbank1959,It's a meme,1,1744368982.0,2025-04-11 10:56:22
1jvglln,EbolaJones420,Free loans for the rich,1,1744380426.0,2025-04-11 14:07:06
1jvglln,Additional-Banana-55,Burn or buy a hundred trillion and it will drop zero each time.  Get a burning or get a buying 😆,1,1744407984.0,2025-04-11 21:46:24
1jvglln,BlueGender1,Cryptocurrencies is a joke,1,1744500573.0,2025-04-12 23:29:33
1jvglln,snorlaxtubbs,Movement!!,1,1744639099.0,2025-04-14 13:58:19
1jvglln,Altruistic_Glove6438,I just got some more,1,1744647188.0,2025-04-14 16:13:08
1jvglln,MISSION-CONTROLLER1,It’s not a meme.   It’s a bowel movement.,-6,1744233639.0,2025-04-09 21:20:39
1jvglln,MISSION-CONTROLLER1,It’s not a meme.   It’s a bowel movement.,4,1744233549.0,2025-04-09 21:19:09
1jvglln,CryptoMoneyLand,"Yes, we did move a bit today. The whole market follows BTC now.  [https://justshib.blogspot.com/p/all-posts.html](https://justshib.blogspot.com/p/all-posts.html)",1,1744242657.0,2025-04-09 23:50:57
1jvglln,kirkskywalkery,"We might, might, just hit the ATH of the last 7 days… we might hit the ATH, of the last 30 days but it will be a long climb…  Unless investors wise up to what Trump is actually doing and get spooked…",0,1744278255.0,2025-04-10 09:44:15
1jvglln,Capable-Commission-3,It has the most holders….because there’s 589 trillion of them. Not the flex that it sounds like.,3,1744243287.0,2025-04-10 00:01:27
1jvglln,Disgustipated2,Are you gonna keep saying that?,5,1744234766.0,2025-04-09 21:39:26
1jvglln,MISSION-CONTROLLER1,"Maybe. I posted once, so we’ll see what happens. Thanks for asking.",0,1744234835.0,2025-04-09 21:40:35
1jvglln,Disgustipated2,No you posted it at least twice homie,3,1744248754.0,2025-04-10 01:32:34
1jve8xj,Upnorthwallstreet,How do I send SHIb to the burn wallet ?,3,1744256636.0,2025-04-10 03:43:56
1jve8xj,LuckyTinMan,Is the catch it doesn’t matter? I bet that’s the catch.,1,1744417189.0,2025-04-12 00:19:49
1jve8xj,Omn1Crypto,https://www.shibburn.com/page/burn-addresses,1,1744265409.0,2025-04-10 06:10:09
1jve8xj,Omn1Crypto,Guess again,1,1744440640.0,2025-04-12 06:50:40
1juuxea,Sure_Reflection_7542,Time to bag more coins,7,1744167535.0,2025-04-09 02:58:55
1juuxea,glockwitharulerclip,we believe in you SHIB,4,1744169469.0,2025-04-09 03:31:09
1juuxea,snorlaxtubbs,Cute one,4,1744203864.0,2025-04-09 13:04:24
1juuxea,CryptoMoneyLand,AND  ![gif](giphy|lyXFtyWkLiiA4ovywf)  [https://justshib.blogspot.com/p/all-posts.html](https://justshib.blogspot.com/p/all-posts.html),3,1744341640.0,2025-04-11 03:20:40
1juuxea,likedasumbody,Thanks 😊,3,1744203883.0,2025-04-09 13:04:43
