post_id,author,body,score,created_utc,date
1jhmk4c,DANDELOREAN,Lolll no,1,1742734626.0,2025-03-23 12:57:06
1jegs4i,HeavyBigdean,L.F.G.,3,1742334384.0,2025-03-18 21:46:24
1jegs4i,IAmTheMagicMoose,Damn. Makes my 68 million feel paltry. Guess I'll buy more!,3,1742341603.0,2025-03-18 23:46:43
1jegs4i,Shibamaster6969,gooooooud,1,1742348703.0,2025-03-19 01:45:03
1jegs4i,SnooStrawberries8174,😆,1,1742350037.0,2025-03-19 02:07:17
1jegs4i,Vegetable_Holiday835,we got same volume! scary now but I kept DCA'ing. lol hope it will pump sooner,1,1742379937.0,2025-03-19 10:25:37
1jegs4i,GainsByVitto,Stay strong 🙏,1,1742520209.0,2025-03-21 01:23:29
1jegs4i,fitter364,"Ooh, you mean like Elon!?",0,1742352088.0,2025-03-19 02:41:28
1jegs4i,JazzlikeQuality1984,"no, I think he meant like Trump",0,1742389870.0,2025-03-19 13:11:10
1je9rit,need2feedpart2,💎👋,3,1742317298.0,2025-03-18 17:01:38
1je9rit,TeachLazy,Wait and you will see,2,1742351637.0,2025-03-19 02:33:57
1je9rit,Blue_Skies-,Brand new account. Shill!!!,1,1742325277.0,2025-03-18 19:14:37
1je9rit,Representative_Fix40,?,1,1742338473.0,2025-03-18 22:54:33
1je9rit,Solidsnake_86,"Absolutely, nothing…",1,1742343183.0,2025-03-19 00:13:03
1je9rit,ScaleSouthern5281,It's tracking like it did when it went to its all-time high give it some time and it'll probably surge past that which I think was 00008834,1,1742394686.0,2025-03-19 14:31:26
1je9rit,ScaleSouthern5281,"My son and I had 3.8 billion and sold it and paid some bills off. Should have kept it all. Only have 14,951,000 now 😭",2,1742520881.0,2025-03-21 01:34:41
1je9rit,GainsByVitto,yeahh we all just gotta be patient lowkk,1,1742520375.0,2025-03-21 01:26:15
1je9rit,Csizemore028,Literally nothing ? What are you talking about,1,1742402973.0,2025-03-19 16:49:33
1je9rit,Warminsandiego,Headed for zero.,-1,1742326233.0,2025-03-18 19:30:33
1jdbu5z,bong_cumblebutt,Wanna know a secret? It’ll never reach that.. ever,19,1742215863.0,2025-03-17 12:51:03
1jdbu5z,body4health,Dont lie to him… it will be $1 for sure … he just need to buy more and more …. Trust me bro,3,1742217208.0,2025-03-17 13:13:28
1jdbu5z,slykethephoxenix,Heard the same for Dogecoin in 2017.,3,1742220485.0,2025-03-17 14:08:05
1jdbu5z,richman678,Yes this is accurate. Only way is some millionaire or billionaire buys a massive amount….. like legendary amount and then throws it into a black hole. Making what’s left surge in value….. but they would lose millions to make millions (likely less)   Meaning they just wanna have fun….,0,1742222322.0,2025-03-17 14:38:42
1jdbu5z,cappachino007,Blocking anyone who posts shib to .01,3,1742217617.0,2025-03-17 13:20:17
1jdbu5z,SilverCharriott,Is a gambling,1,1742278393.0,2025-03-18 06:13:13
1jdbu5z,Warminsandiego,It will reach 0.00.,1,1742217630.0,2025-03-17 13:20:30
1jdbu5z,cappachino007,"Shib doesn't even have an official social media account. The coin is ran by overseas ""Developers"" monitored by the FBI. Don't believe.  Google what government agency owns shib. Added to that, no matter how much is burned, supply doesn't change.",0,1742218000.0,2025-03-17 13:26:40
1jdbu5z,Phisticuff,No,0,1742218332.0,2025-03-17 13:32:12
1jdbu5z,MonacoFranzee,yes - it will reach it the day after you sold,0,1742218477.0,2025-03-17 13:34:37
1jdbu5z,B-mello,And maybe monkeys will drive pink Cadillacs out of my ass to deliver mine! I’ll start making room,-1,1742218623.0,2025-03-17 13:37:03
1jcrq6v,Solidsnake_86,Just checked my wallet. The answer is No.,7,1742149166.0,2025-03-16 18:19:26
1jcrq6v,Eastern_Dog_8888,I'll take green over a sea of red surrounding shib.,1,1742174735.0,2025-03-17 01:25:35
1jcrq6v,Catharsiscult,Shib is showing REMARKABLE resistance and confidence today. Almost the whole crypto market is down with SHIB up. That isn't common.,6,1742151971.0,2025-03-16 19:06:11
1jcrq6v,Mundane-Bluebird-338,"You are kidding, right? 🙄",2,1742169204.0,2025-03-16 23:53:24
1jcrq6v,Still-River2259,Trash coin,1,1742186522.0,2025-03-17 04:42:02
1jcrq6v,V0rclaw,It hasn’t moved??? What rally?,1,1742193391.0,2025-03-17 06:36:31
1jcrq6v,cinesias,Get ready to buy the dip.,2,1742278028.0,2025-03-18 06:07:08
1jbam5p,49readygo,Positive vibes,3,1742129249.0,2025-03-16 12:47:29
1j9n4te,Pbandsadness,"I'm still negative overall, but up $0.82 today. Lol.",2,1741797015.0,2025-03-12 16:30:15
1j9n4te,Savings_Tumbleweed39,Up and down and up and down,1,1741828191.0,2025-03-13 01:09:51
1j98tud,Lovesexdreams420,Why are there no replies? This is the only reason I bought shib in the first place,3,1741952646.0,2025-03-14 11:44:06
1j98tud,deepscroll,Will this help with burning?,1,1741999807.0,2025-03-15 00:50:07
1j98tud,Lovesexdreams420,50/50,1,1742012825.0,2025-03-15 04:27:05
1j98tud,deepscroll,?,1,1742013290.0,2025-03-15 04:34:50
1j9unrv,Unkn0wn77777771,Buy more plz,5,1741814100.0,2025-03-12 21:15:00
1j9unrv,Entertainment-33,I just bought half a mill,5,1741815505.0,2025-03-12 21:38:25
1j9unrv,thenaturalstate,So like $3.50?,2,1741840587.0,2025-03-13 04:36:27
1j9unrv,Entertainment-33,5$,1,1741840613.0,2025-03-13 04:36:53
1j9unrv,theapeway,I’m in for 900 shib!,3,1741815200.0,2025-03-12 21:33:20
1j9unrv,JustTheTopGaming,Millions upon millions and holding! 30 year investment!,3,1741822892.0,2025-03-12 23:41:32
1j9unrv,Entertainment-33,I hope so,2,1741824658.0,2025-03-13 00:10:58
1j9unrv,Diligent_Cover3368,You will see 8 zeros by then,1,1741827203.0,2025-03-13 00:53:23
1j9unrv,OddSyrup2712,"I hit my $100 meme coin investment limit at $.000024, so I’ve missed out on the dip.  Me and my 4 million+ are just along for the ride.",3,1741827200.0,2025-03-13 00:53:20
1j9unrv,papahead135,I am stoke,1,1741824818.0,2025-03-13 00:13:38
1j9unrv,JustinCompton79,Swap,1,1741832036.0,2025-03-13 02:13:56
1j9unrv,Vipin-1001,DCA it will rise,1,1741834251.0,2025-03-13 02:50:51
1j9unrv,Entertainment-33,Dca?,1,1741837803.0,2025-03-13 03:50:03
1j9unrv,Vipin-1001,Dollar Cost Average,1,1741838612.0,2025-03-13 04:03:32
1j9unrv,Entertainment-33,Explain lol,1,1741862864.0,2025-03-13 10:47:44
1j9unrv,Vipin-1001,"Suppose you are thinking to invest $500 to invest in Shiba - Split it into like 10 Parts - and start investing by first putting $50 now, then next $50 in the next 5 to 10 % crash- repeat the same to bring your average cost down",1,1741864575.0,2025-03-13 11:16:15
1j9le8o,-mrwiggly-,"By the foolish nature of the title, you’re going to lose the money anyway so Shiba seems perfect for you.",15,1741793230.0,2025-03-12 15:27:10
1j9le8o,successful-lemon1014,No,6,1741790362.0,2025-03-12 14:39:22
1j9le8o,Crazybuttondot,Peharps buy now,3,1741790392.0,2025-03-12 14:39:52
1j9le8o,Unkn0wn77777771,Invest as much as you can bro help pump up that price!!!!!!!1,3,1741790659.0,2025-03-12 14:44:19
1j9le8o,SadInteraction7216,ok i think im going to put in like 10k maybe. should i is that enough?,0,1741790902.0,2025-03-12 14:48:22
1j9le8o,edwardothegreatest,More. Mortgage your home,11,1741791381.0,2025-03-12 14:56:21
1j9le8o,SadInteraction7216,ok i will probably do like 15k if it goes down just a little more in about 10 minutes,3,1741791461.0,2025-03-12 14:57:41
1j9le8o,Bassmasterajv,"Shit, might as well do 20k…",4,1741792058.0,2025-03-12 15:07:38
1j9le8o,SadInteraction7216,eh idk if it goes up a little i will put a ton more in but i want to see it rise first,2,1741792191.0,2025-03-12 15:09:51
1j9le8o,mrwillie2u,"Without massive burns, shib is not going anywhere",2,1741793690.0,2025-03-12 15:34:50
1j9le8o,[deleted],"Yea that’s what a lot of these new investors don’t get, they said it will take at least a decade to burn all the coins for shiba to reach a dollar",2,1741799540.0,2025-03-12 17:12:20
1j9le8o,nerdburg,"I mean, if we knew that information we would all be rich.   You should learn the principles of HODL and DCA.   Right now is a time of uncertainty due to the US economy being on the brink of recession. If the US economy takes a shit, it's likely that crypto will take a shit too.   Personally, I've liquidated almost all of my investments, my $$ is sitting in high yield savings accounts right now. I'm only holding a few thousand $ in crypto. I think the current economic situation is only going to get worse and being in the markets right now is risky business.   I plan on sitting on my cash until the market crashes, then I'll buy back in.   Good luck whatever you decide!",2,1741795303.0,2025-03-12 16:01:43
1j9le8o,iamnotlegendxx,Wow,1,1741791573.0,2025-03-12 14:59:33
1j9le8o,thenaturalstate,Go all in,1,1741792844.0,2025-03-12 15:20:44
1j9le8o,EyesFor1,Who told you ?,1,1741794307.0,2025-03-12 15:45:07
1j9le8o,Yurgin,All in or nothing.,1,1741795948.0,2025-03-12 16:12:28
1j9le8o,Warminsandiego,It will continue its journey toward zero.,1,1741796112.0,2025-03-12 16:15:12
1j9le8o,TonyMontana00404,Nope it wont,1,1741797027.0,2025-03-12 16:30:27
1j9le8o,papahead135,Spend your kid's college fund YOLO,1,1741797687.0,2025-03-12 16:41:27
1j9le8o,TonySopranobf,Hell no,1,1741798055.0,2025-03-12 16:47:35
1j9le8o,Burning-Gundam,Don't do it.,1,1741799552.0,2025-03-12 17:12:32
1j9le8o,Mongolith-,I like the experiment.  If this was a stock it would have delisted from whatever exchange a long time ago.   How low can it go?  Don’t know but do wish I could short sell it,1,1742148410.0,2025-03-16 18:06:50
1j900qf,Prestigious_Wait_251,"I wonder what metrics the AI is focused on when making predictions? In my opinion, the most accurate indicators are communities, number of holders and capitalization. What's yours?",2,1741770579.0,2025-03-12 09:09:39
1j900qf,fzulle,Source?,1,1741794339.0,2025-03-12 15:45:39
1j900qf,Prestigious_Wait_251,ChatGPT ),1,1741794565.0,2025-03-12 15:49:25
1j900qf,Shibamaster6969,Imagination is key in this predictions? But anyways lets get to at least .002 🙄,1,1741976923.0,2025-03-14 18:28:43
1j8k24f,Neo_Epoch,"If you dream hard, the dream will dream a dream a little further for that hard dream to dream come alive.  🌠the more you know 🌈",5,1741674858.0,2025-03-11 06:34:18
1j8k24f,Savings_Tumbleweed39,🤣🤣🤣,2,1741726485.0,2025-03-11 20:54:45
